INFO | Loading clean dataset
INFO | step 2640 epoch 8 loss=0.2875 elapsed=774s
INFO | step 2650 epoch 8 loss=0.4563 elapsed=778s
INFO | step 2660 epoch 8 loss=0.2888 elapsed=781s
INFO | step 2670 epoch 8 loss=0.4019 elapsed=785s
INFO | step 2680 epoch 8 loss=0.5666 elapsed=788s
INFO | step 2690 epoch 8 loss=0.4609 elapsed=792s
INFO | step 2700 epoch 8 loss=0.4577 elapsed=795s
INFO | step 2710 epoch 8 loss=0.3647 elapsed=799s
INFO | step 2720 epoch 8 loss=0.3304 elapsed=802s
INFO | step 2730 epoch 8 loss=1.1193 elapsed=805s
INFO | step 2740 epoch 8 loss=0.6015 elapsed=809s
INFO | step 2750 epoch 8 loss=0.3291 elapsed=812s
INFO | step 2760 epoch 8 loss=0.6438 elapsed=816s
INFO | step 2770 epoch 8 loss=0.3365 elapsed=819s
INFO | step 2780 epoch 8 loss=0.5222 elapsed=823s
INFO | step 2790 epoch 8 loss=0.3507 elapsed=826s
INFO | epoch 8 done  val_log_mse=0.7865  ood_log_mse=5.2043  elapsed=828s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_008.pkl
INFO | step 2800 epoch 9 loss=0.4887 elapsed=831s
INFO | step 2810 epoch 9 loss=0.7458 elapsed=834s
INFO | step 2820 epoch 9 loss=0.6810 elapsed=838s
INFO | step 2830 epoch 9 loss=0.4333 elapsed=843s
INFO | step 2840 epoch 9 loss=0.2997 elapsed=846s
INFO | step 2850 epoch 9 loss=0.2354 elapsed=849s
INFO | step 2860 epoch 9 loss=0.3863 elapsed=852s
INFO | step 2870 epoch 9 loss=0.5472 elapsed=856s
INFO | step 2880 epoch 9 loss=0.7119 elapsed=859s
INFO | step 2890 epoch 9 loss=1.0902 elapsed=862s
INFO | step 2900 epoch 9 loss=0.4562 elapsed=866s
INFO | step 2910 epoch 9 loss=0.5038 elapsed=870s
INFO | step 2920 epoch 9 loss=0.4877 elapsed=873s
INFO | step 2930 epoch 9 loss=0.6091 elapsed=877s
INFO | step 2940 epoch 9 loss=0.2595 elapsed=880s
INFO | step 2950 epoch 9 loss=0.4444 elapsed=883s
INFO | step 2960 epoch 9 loss=0.7966 elapsed=887s
INFO | step 2970 epoch 9 loss=0.2553 elapsed=891s
INFO | step 2980 epoch 9 loss=0.3195 elapsed=894s
INFO | step 2990 epoch 9 loss=0.3375 elapsed=898s
INFO | step 3000 epoch 9 loss=0.5070 elapsed=901s
INFO | step 3010 epoch 9 loss=0.6677 elapsed=904s
INFO | step 3020 epoch 9 loss=1.0842 elapsed=907s
INFO | step 3030 epoch 9 loss=0.2799 elapsed=911s
INFO | step 3040 epoch 9 loss=0.3287 elapsed=914s
INFO | step 3050 epoch 9 loss=0.2940 elapsed=918s
INFO | step 3060 epoch 9 loss=0.3934 elapsed=921s
INFO | step 3070 epoch 9 loss=1.8260 elapsed=924s
INFO | step 3080 epoch 9 loss=1.0420 elapsed=927s
INFO | step 3090 epoch 9 loss=0.5091 elapsed=930s
INFO | step 3100 epoch 9 loss=0.5957 elapsed=934s
INFO | epoch 9 done  val_log_mse=0.9301  ood_log_mse=4.9481  elapsed=936s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_009.pkl
INFO | Training complete. Final model: /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/fm_conductivity_model.pkl
